"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"¯ywot Briana " "1979" "/film/%C5%BBywot+Briana-1979-1099" 173589 "7,82" "Komedia" "  Terry Jones " "Wielka Brytania" "1 godz. 34 min."
"Uœpieni " "1996" "/film/U%C5%9Bpieni-1996-616" 138561 "7,81" "Dramat  /  Thriller" "  Barry Levinson " "USA" "2 godz. 26 min."
"Jak wytresowaæ smoka " "2010" "/film/Jak+wytresowa%C4%87+smoka-2010-331014" 287217 "7,81" "Animacja  /  Familijny  /  Fantasy  /  Przygodowy" "  Dean DeBlois   /    Chris Sanders " "USA" "1 godz. 38 min."
"Requiem dla snu " "2000" "/film/Requiem+dla+snu-2000-9136" 653759 "7,81" "Dramat" "  Darren Aronofsky " "USA" "1 godz. 42 min."
"Siedmiu samurajów " "1954" "/film/Siedmiu+samuraj%C3%B3w-1954-31369" 70373 "7,81" "Dramat" "  Akira Kurosawa " "Japonia" "3 godz. 23 min."
"Filadelfia " "1993" "/film/Filadelfia-1993-1222" 279716 "7,81" "Dramat" "  Jonathan Demme " "USA" "2 godz. 5 min."
"Ksiê¿niczka Mononoke " "1997" "/film/Ksi%C4%99%C5%BCniczka+Mononoke-1997-971" 75761 "7,80" "Fantasy  /  Przygodowy  /  Anime" "  Hayao Miyazaki " "Japonia" "2 godz. 13 min."
"Ruchomy zamek Hauru " "2004" "/film/Ruchomy+zamek+Hauru-2004-128710" 94831 "7,80" "Fantasy  /  Anime" "  Hayao Miyazaki " "Japonia" "1 godz. 59 min."
"Tylko nie mów nikomu " "2019" "/film/Tylko+nie+m%C3%B3w+nikomu-2019-830631" 71644 "7,80" "Dokumentalny" "  Tomasz Sekielski " "Polska" "2 godz. 1 min."
"¯ycie Carlita " "1993" "/film/%C5%BBycie+Carlita-1993-1094" 93411 "7,80" "Gangsterski" "  Brian De Palma " "USA" "2 godz. 24 min."
"Cz³owiek w ogniu " "2004" "/film/Cz%C5%82owiek+w+ogniu-2004-107049" 179529 "7,79" "Dramat  /  Sensacyjny" "  Tony Scott " "USA  /  Wielka Brytania" "2 godz. 26 min."
"Taksówkarz " "1976" "/film/Taks%C3%B3wkarz-1976-1046" 208191 "7,79" "Dramat" "  Martin Scorsese " "USA" "1 godz. 53 min."
"Jak rozpêta³em drug¹ wojnê œwiatow¹ " "1969" "/film/Jak+rozp%C4%99ta%C5%82em+drug%C4%85+wojn%C4%99+%C5%9Bwiatow%C4%85-1969-6531" 267043 "7,79" "Komedia  /  Przygodowy  /  Wojenny" "  Tadeusz Chmielewski " "Polska" "3 godz. 56 min."
"Obcy - 8. pasa¿er \"Nostromo\" " "1979" "/film/Obcy+-+8.+pasa%C5%BCer+%22Nostromo%22-1979-980" 273556 "7,79" "Horror  /  Sci-Fi" "  Ridley Scott " "USA  /  Wielka Brytania" "1 godz. 57 min."
"Gra " "1997" "/film/Gra-1997-62" 198898 "7,79" "Thriller" "  David Fincher " "USA" "2 godz. 8 min."
"Twój Vincent " "2017" "/film/Tw%C3%B3j+Vincent-2017-698207" 67047 "7,78" "Animacja  /  Dramat  /  Krymina³" "  Dorota Kobiela   /    Hugh Welchman " "Polska  /  Wielka Brytania" "1 godz. 35 min."
"Szósty zmys³ " "1999" "/film/Sz%C3%B3sty+zmys%C5%82-1999-825" 616269 "7,78" "Thriller" "  M. Night Shyamalan " "USA" "1 godz. 47 min."
"Prawo zemsty " "2009" "/film/Prawo+zemsty-2009-475202" 207164 "7,78" "Thriller" "  F. Gary Gray " "USA" "1 godz. 49 min."
